FullName,FirstName,LastName,BirthYear,DeathYear,id
Willie Humphrey,Willie,Humphrey,1900,1994,142
Clement Tervalon,Clement,Tervalon,1894,1989,143
Dave Bailey,Dave,Bailey,,,144
Eddie Richardson,Eddie,Richardson,,,145
Emile Barnes,Emile,Barnes,1892,1970,146
Sammy Hopkinds,Sammy,Hopkinds,,,147
James Prevost,James,Prevost,,,148
Eddie Dawson,Eddie,Dawson,1884,1972,149
Sammy Hopkins,Sammy,Hopkins,,,150
Walter Barnes,Walter,Barnes,,,151
George Thigpen,George,Thigpen,,,152
Thomas Lawrence,Thomas,Lawrence,,,153
Ed Burke,Ed,Burke,,,154
Bill Winston,Bill,Winston,,,155
Paul Johnson,Paul,Johnson,,,156
Irby Gage,Irby,Gage,,,157
Wilson Underwood,Wilson,Underwood,,,158
Lucius Wilson,Lucius,Wilson,,,159
Dave Bartholomew,Dave,Bartholomew,1920,,160
Earl Palmer,Earl,Palmer,,,161
Wynonie Harris,Wynonie,Harris,,,162
Ray Bauduc,Ray,Bauduc,1909,1988,163
Bob Crosby,Bob,Crosby,,,164
Billie Barrett,Billie,Barrett,,,165
Delois Barrett,Delois,Barrett,,,166
Rodessa Barrett,Rodessa,Barrett,,,167
Rudolph Beaulieu,Rudolph,Beaulieu,,,168
August Laurent,August,Laurent,,,169
Sidney Bechet,Sidney,Bechet,1897,1959,170
Robert Lewis,Robert,Lewis,1900,1965,171
Jimmy Archey,Jimmy,Archey,1902,1967,172
George Wettling,George,Wettling,,,173
Elmer Schoebel,Elmer,Schoebel,,,174
Bill Reinhart,Bill,Reinhart,,,175
Munn Ware,Munn,Ware,,,176
Danny Alvin,Danny,Alvin,,,177
Floyd Bean,Floyd,Bean,,,178
Ray Parker,Ray,Parker,,,179
Bunk Johnson,Bunk,Johnson,1879,1949,180
George Thompson,George,Thompson,,,181
Rex Stewart,Rex,Stewart,1907,1967,182
Min Leibrook,Min,Leibrook,,,183
Jimmy Hartwell,Jimmy,Hartwell,,,184
Geo Johnson,Geo,Johnson,,,185
Bob Gilette,Bob,Gilette,,,186
Vic Moore,Vic,Moore,,,187
Dick Voynow,Dick,Voynow,,,188
Bix Beiderbecke,Bix,Beiderbecke,1903,1931,189
Al Gandee,Al,Gandee,,,190
Babe Belmore,Babe,Belmore,,,191
Eubie Blake,Eubie,Blake,,,192
Carroll Blunt,Carroll,Blunt,,,193
Frank Murray,Frank,Murray,,,194
John Wimberley,John,Wimberley,,,195
Leroy Robinet,Leroy,Robinet,,,196
Barry Martyn,Barry,Martyn,,,197
Harold Edward,Harold,Edward,,,198
George Lewis,George,Lewis,1900,1968,199
Emanuel Sayles,Emanuel,Sayles,1907,1986,200
John Joseph,John,Joseph,1877,1965,201
Dwight Newman,Dwight,Newman,,,202
Henry Martin,Henry,Martin,,,203
Charles Bocage,Charles,Bocage,,,204
Louis Warnick,Louis,Warnick,,,205
Henry Bocage,Henry,Bocage,,,206
Willie Warner,Willie,Warner,,,207
Willie Cornish,Willie,Cornish,,,208
Buddy Bolden,Buddy,Bolden,1877,1931,209
Jimmie Johnson,Jimmie,Johnson,,,210
Frank Lewis,Frank,Lewis,,,211
Brock Mumford,Brock,Mumford,,,212
Sharkey Bonano,Sharkey,Bonano,1904,1972,213
Wellman Braud,Wellman,Braud,1891,1966,214
Clarence Brown,Clarence,Brown,1924,2005,215
Steve Brown,Steve,Brown,1890,1965,216
Tom Brown,Tom,Brown,1888,1958,217
Merrit Brunies,Merrit,Brunies,,,218
Abbie Brunies,Abbie,Brunies,1900,1978,219
George Brunis,George,Brunis,1902,1974,220
Martin Behrman,Martin,Behrman,,,221
Andrew McShane,Andrew,McShane,,,222
Lee Collins,Lee,Collins,1901,1960,223
Louis Gallaud,Louis,Gallaud,,,224
Ernest Rogers,Ernest,Rogers,1891,1956,225
Albert Jiles,Albert,Jiles,1905,1964,226
Pee Wee Russell,Pee Wee,Russell,,,227
Baby Dodds,Baby,Dodds,,,228
Max Kaminsky,Max,Kaminsky,,,229
Eddie Condon,Eddie,Condon,,,230
Al Lobre,Al,Lobre,,,231
Anthony Palmisano,Anthony,Palmisano,,,232
Warren Duncan,Warren,Duncan,,,233
Punch Miller,Punch,Miller,,,234
Joe Kid Avery,Joe Kid,Avery,1892,1955,235
Wooden Joe Nicholas,Wooden Joe,Nicholas,,,236
Danny Barker,Danny,Barker,1909,1994,237
Herbert Otto,Herbert,Otto,,,238
Bob Matthews,Bob,Matthews,,,239
Tony Parenti,Tony,Parenti,1900,1972,240
Harry Shields,Harry,Shields,1899,1971,241
Buddy Burns,Buddy,Burns,,,242
Tony Giardina,Tony,Giardina,1897,1956,243
Milton John Hinton,Milton John,Hinton,1910,2000,244
Cozy Cole,Cozy,Cole,1909,1981,245
Chu Berry,Chu,Berry,,,246
Paul Jackson,Paul,Jackson,,,247
Bill Price,Bill,Price,,,248
Bob Lovett,Bob,Lovett,,,249
Allan Fredricks,Allan,Fredricks,,,250
Jeff Hazelton,Jeff,Hazelton,,,251
Joe Dolliole,Joe,Dolliole,,,252
Clarence Tisdale,Clarence,Tisdale,,,253
George Henders,George,Henders,,,254
Henry Cazenave,Henry,Cazenave,,,255
Elmer Talbert,Elmer,Talbert,,,256
Albert Warner,Albert,Warner,,,257
George Stewart,George,Stewart,,,258
Johnny Prudence,Johnny,Prudence,,,259
Brun Campbell,Brun,Campbell,,,260
Delois Barrett Campbell,Delois Barrett,Campbell,,,261
Buster Wilson,Buster,Wilson,,,262
Mutt Carey,Mutt,Carey,1891,1948,263
Minor “Ram” Hall,Minor,Hall,1897,1959,264
George Williams,George,Williams,1910,1965,265
Joseph Thomas,Joseph,Thomas,1902,1981,266
Oscar Henry,Oscar,Henry,,,267
Albert French,Albert,French,1910,1977,268
Bill Matthews,Bill,Matthews,1899,1964,269
John Jones,John,Jones,,,270
Wilbert Tillman,Wilbert,Tillman,1907,1967,271
Fats Houston,Fats,Houston,,,272
Henry Glass,Henry,Glass,,,273
Bill Brown,Bill,Brown,,,274
Jesse Charles,Jesse,Charles,,,275
Anderson Minor,Anderson,Minor,,,276
Chicken Henry,Chicken,Henry,,,277
Vernon Gilbert,Vernon,Gilbert,,,278
Worthia Thomas,Worthia,Thomas,1907,1994,279
Lester Santiago,Lester,Santiago,1909,1965,280
Vernon Giblert,Vernon,Giblert,,,281
Kid Sheik Colar,Kid Sheik,Colar,,,282
Mike Casimir,Mike,Casimir,,,283
Chris Coope,Chris,Coope,,,284
John Williams,John,Williams,,,285
Clive Wilson,Clive,Wilson,,,286
Bill Rainbird,Bill,Rainbird,,,287
Tony O'Sullivan,Tony,O'Sullivan,,,288
Ray Casimir,Ray,Casimir,,,289
Jim Young,Jim,Young,,,290
Chris McDonald,Chris,McDonald,,,291
Jack MacMahon,Jack,MacMahon,,,292
